,0
0,-2.0005232
1,-2.00104640456
2,-2.001569613611698
3,-2.0020928270878153
4,-2.0026160449220827
5,-2.0031392670492236
6,-2.0036624934049403
7,-2.004185723925899
8,-2.0047089585497146
9,-2.005232197214938
10,-2.0058034398610407
11,-2.0063746868284014
12,-2.0069459380523016
13,-2.0075171934689933
14,-2.008088453015683
15,-2.0086597166305196
16,-2.0092309842525786
17,-2.009802255821849
18,-2.0103735312792193
19,-2.0109448105664636
20,-2.01134809362623
21,-2.0117513790020243
22,-2.0121546666591708
23,-2.0125579565635117
24,-2.012961248681402
25,-2.013364542979701
26,-2.0137678394257645
27,-2.014171137987438
28,-2.0145744386330486
29,-2.014977741331399
30,-2.015453046051758
31,-2.0159283533638566
32,-2.016403663228892
33,-2.016878975608644
34,-2.0173542904654633
35,-2.017829607762267
36,-2.018304927462527
37,-2.018780249530263
38,-2.0192555739300344
39,-2.0197309006269313
40,-2.0202302295865673
41,-2.0207295609750715
42,-2.021228894756085
43,-2.0217282308937943
44,-2.022227569352922
45,-2.0227269100987204
46,-2.023226253096962
47,-2.0237255983139324
48,-2.024224945716423
49,-2.024724295271723
50,-2.025242846947611
51,-2.02576140087235
52,-2.0262799570122816
53,-2.0267985153342516
54,-2.027317075805603
55,-2.027835638394169
56,-2.028354203068264
57,-2.028872769796678
58,-2.0293913385486686
59,-2.029909909293954
60,-2.0303660820027067
61,-2.0308222561255462
62,-2.031278431641321
63,-2.031734608529196
64,-2.03219078676865
65,-2.032646966339468
66,-2.033103147221739
67,-2.033559329395849
68,-2.0340155128424797
69,-2.034471697542601
70,-2.034947083477469
71,-2.035422470788621
72,-2.0358978594554733
73,-2.0363732494577516
74,-2.0368486407754856
75,-2.037324033389004
76,-2.0377994272789306
77,-2.0382748224261795
78,-2.0387502188119515
79,-2.039225616417728
80,-2.039734615225269
81,-2.0402436154966077
82,-2.0407526172098525
83,-2.04126162034344
84,-2.0417706248761305
85,-2.042279630787002
86,-2.0427886380554465
87,-2.043297646661165
88,-2.0438066565841626
89,-2.0443156678047445
90,-2.0448294803035103
91,-2.045343294101351
92,-2.0458571091788453
93,-2.0463709255168623
94,-2.046884743096558
95,-2.0473985618993713
96,-2.047912381907019
97,-2.048426203101492
98,-2.048940025465051
99,-2.0494538489802228
100,-2.049934073629796
101,-2.0504142991168175
102,-2.0508945254287823
103,-2.051374752553372
104,-2.0518549804784536
105,-2.0523352091920755
106,-2.0528154386824657
107,-2.053295668938029
108,-2.0537758999473423
109,-2.0542561316991557
110,-2.054702764182387
111,-2.05514939710612
112,-2.055596030463797
113,-2.056042664248957
114,-2.056489298455237
115,-2.0569359330763692
116,-2.05738256810618
117,-2.0578292035385872
118,-2.058275839367601
119,-2.0587224755873206
120,-2.0592363121919344
121,-2.0597501497357174
122,-2.0602639882046425
123,-2.060777827584894
124,-2.061291667862861
125,-2.06180550902514
126,-2.062319351058525
127,-2.06283319395001
128,-2.063347037686784
129,-2.063860882256227
130,-2.0643123276459088
131,-2.0647637733235853
132,-2.0652152192849846
133,-2.065666665525899
134,-2.0661181120421834
135,-2.0665695588297557
136,-2.0670210058845937
137,-2.0674724532027366
138,-2.0679239007802828
139,-2.068375348613389
140,-2.068807596698269
141,-2.0692398448711944
142,-2.0696720931308885
143,-2.070104341476094
144,-2.0705365899055717
145,-2.0709688384181018
146,-2.071401087012483
147,-2.071833335687531
148,-2.0722655844420803
149,-2.072697833274982
150,-2.0731204821851055
151,-2.073543131091336
152,-2.0739657799937743
153,-2.074388428892519
154,-2.0748110777876687
155,-2.075233726679319
156,-2.075656375567564
157,-2.076079024452498
158,-2.076501673334212
159,-2.0769243222127973
160,-2.0773757710883425
161,-2.077827220200936
162,-2.078278669547069
163,-2.0787301191232865
164,-2.079181568926184
165,-2.0796330189524093
166,-2.0800844691986597
167,-2.080535919661682
168,-2.0809873703382724
169,-2.081438821225274
170,-2.0820054723195778
171,-2.082572124578122
172,-2.083138777983511
173,-2.0837054325186104
174,-2.084272088166543
175,-2.0848387449106833
176,-2.0854054027346565
177,-2.085972061622332
178,-2.086538721557822
179,-2.087105382525476
180,-2.0875520445098785
181,-2.0879987064958456
182,-2.088445368483398
183,-2.0888920304725573
184,-2.0893386924633437
185,-2.089785354455777
186,-2.0902320164498778
187,-2.0906786784456655
188,-2.0911253404431593
189,-2.091572002442379
190,-2.0920570644433427
191,-2.0925421267660695
192,-2.093027189405784
193,-2.0935122523577836
194,-2.0939973156174356
195,-2.0944823791801768
196,-2.094967443041512
197,-2.095452507197014
198,-2.0959375716423216
199,-2.0964226363731395
200,-2.096792501385236
201,-2.0971623657144436
